ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,CTREnsemblePredictedImpressions
2026-07-07,1371.5677429999998,69329.803776,2144.4500000000003,1402.08,46451.03999999999,1256.7699999999998,-17.118353999999975,39104.888064000006,54301.392115653485
2026-07-08,1376.0808879999997,68820.575038,2144.4500000000003,1193.24,48257.159999999996,1378.85,219.480336,36670.358132,53902.547349439534
2026-07-09,1366.734733,68786.992316,2144.4500000000003,1128.84,45880.32,1330.8899999999999,280.4044260000001,39005.755624,53876.244252411816
2026-07-10,1337.053627,68751.19899599999,2144.4500000000003,1016.5999999999999,41051.24,1269.85,371.575494,43790.665144,53848.2097420197
2026-07-11,1408.812769,70085.64311199999,2144.4500000000003,1106.76,40845.92,1191.37,352.048818,45642.745967999996,54893.3904471817
2026-07-12,1542.538361,70647.113008,2144.4500000000003,988.0799999999999,41874.84,1221.8899999999999,633.519042,45306.703712,55333.15221374227
2026-07-13,1471.004717,70625.31619399998,2144.4500000000003,952.1999999999999,39649.96,1170.6599999999999,593.1184740000001,47504.68551599999,55316.08022912061
2026-07-14,1373.6148789999997,69620.324594,2144.4500000000003,965.0799999999999,39755.52,1222.9799999999998,469.6762379999999,46158.923116000005,54528.93761552175
2026-07-15,1333.5797929999999,69564.243818,2144.4500000000003,997.28,39568.759999999995,1185.9199999999998,389.10174599999993,46276.477051999995,54485.01329954408
2026-07-16,1284.5346149999998,69228.66503999999,2144.4500000000003,942.9999999999999,38956.28,1164.12,394.30803000000014,46474.838560000004,54222.176917246725
2026-07-17,1213.9381799999999,68981.43479399999,2144.4500000000003,921.8399999999999,36739.52,1178.2899999999997,338.6379600000001,48386.505916,54028.53802315334
2026-07-18,1286.862668,69818.366614,2144.4500000000003,873.0799999999999,36511.0,1132.5099999999998,474.437496,49647.835395999995,54684.050666441966
2026-07-19,1472.2406789999998,69729.292026,2144.4500000000003,873.0799999999999,42026.799999999996,1200.09,682.223838,44022.11356399999,54614.28450719888
2026-07-20,1367.95659,69727.86078199999,2144.4500000000003,863.8799999999999,38759.079999999994,1151.04,575.53398,47288.06734799999,54613.1635096275
2026-07-21,1242.426003,68483.752734,2144.4500000000003,908.04,39105.92,1218.62,385.86936599999996,45405.945075999996,53638.73699650828
2026-07-22,1260.4805849999998,68104.21213,2144.4500000000003,816.04,36020.32,1118.34,508.1063699999999,48023.17582,53341.4682601333
2026-07-23,1264.5640279999998,68021.075146,2144.4500000000003,849.16,35837.04,1120.5199999999998,475.96341599999994,48103.861244,53276.35262844794
2026-07-24,1231.606012,67888.093816,2144.4500000000003,833.52,35614.32,1200.09,456.361464,48162.476623999995,53172.19725873534
